key,Single_thread time,Parallel row time,Speedup
"matrices/32-col_rots_32,3-col_xforms-32,3",3.089619894,7.264399035,0.4253097715467113
"matrices/32-col_rots_32,3-col_xforms_32,3-row_rots-32,3",0.848013667,6.096258105,0.13910396384045487
"matrices/32,1-col_rots_32,1-col_rots-32,1",0.173624163,0.145483191,1.1934310885441053
"matrices/32,4-col_rots_32,4-col_xforms-32,4",51.578752284,38.191123281,1.3505429495879822
"matrices/32,4-col_rots_32,4-col_xforms_32,4-row_rots-32,4",18.662587925,101.122462672,0.18455432583296374
"matrices/32,4-col_rots_32,4-col_xforms_32,4-row_rots_32,4-row_xforms-32,4",19.272299571,243.392021125,0.07918213375245457
"matrices/32,4-col_rots_32,4-col_xforms_32,4-row_rots_32,4-row_xforms_32,4-col_rots-32,4",18.035998029,202.635963024,0.08900689571507026
"matrices/8-reshape_2,4-transpose_4,2-cond_keep{restrict[1|1]}_4,2,4-broadcast{group[1]}_4,4-rots{main[0]out[1]second[1]}-4,4",0.001277706,0.002872022,0.44488029687794867
"matrices/32-col_rots_32,4-col_xforms-32,4",7.594963263,12.28632241,0.6181640860098511
"matrices/32-col_rots_32,4-col_xforms_32,4-row_rots-32,4",3.935736596,8.558468616,0.45986458239061206
"matrices/32,2-col_rots_32,2-col_xforms-32,2",2.490377208,2.7140081670000002,0.9176012210577846
"matrices/32,2-col_rots_32,2-col_xforms_32,2-row_rots-32,2",0.450185249,7.42569172,0.06062536205044613
"matrices/32,2-col_rots_32,2-col_xforms_32,2-row_rots_32,2-row_xforms-32,2",0.525305191,10.970848712,0.04788191003175689
"matrices/32,2-col_rots_32,2-col_xforms_32,2-row_rots_32,2-row_xforms_32,2-col_rots-32,2",0.678231453,11.813659976,0.057410781618724316
"matrices/32-col_rots_32,2-col_xforms-32,2",0.81791648,2.871536172,0.2848358617159011
"matrices/32-col_rots_32,2-col_xforms_32,2-row_rots-32,2",0.197767092,2.663954704,0.07423815866803117
"matrices/32-col_rots_32,5-col_xforms-32,5",19.653498387,20.701592655,0.9493713220298122
"matrices/32-col_rots_32,5-col_xforms_32,5-row_rots-32,5",6.089222294,15.903181218,0.3828933475968896
"matrices/32,2-row_rots_32,2-row_xforms-32,2",0.301188029,0.294686175,1.0220636546658493
"matrices/32,2-row_rots_32,2-row_xforms_32,2-col_rots-32,2",0.448897262,0.466508165,0.9622495289016003
"matrices/32,2-row_rots_32,2-row_xforms_32,2-col_rots_32,2-col_xforms-32,2",3.137512873,12.092641726,0.2594563656222556
"matrices/32,2-row_rots_32,2-row_xforms_32,2-col_rots_32,2-col_xforms_32,2-row_rots-32,2",0.470230944,10.381402749,0.04529551115289266
"matrices/32,3-row_rots_no_group_32,3-row_xforms_no_group-32,3",1.9027977790000001,1.725249722,1.1029115117283874
"matrices/32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group-32,3",3.782208233,3.129537386,1.2085518613452986
"matrices/32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",24.549494136,59.814571239,0.41042665068864287
